ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
50000
ITEM: BOX BOUNDS pp pp pp
0 1.00e-05
0 1.00e-05
0 1.00e-05
ITEM: ATOMS id type x y z vx vy vz
0  1 8.47244e-06 9.18229e-06 8.70997e-06 -2.17625e-01 1.09934e+00 -4.52032e-01
1  1 3.55876e-06 3.54371e-06 2.94507e-06 1.60703e-01 -9.23333e-01 -6.35964e-01
2  1 5.66652e-06 3.33416e-07 2.57447e-07 -1.72203e+00 -1.52803e+00 -4.58784e-01
3  1 9.09263e-06 8.44919e-06 4.05458e-06 -4.84042e-02 -1.62021e-01 -3.72362e-01
4  1 5.77930e-06 7.36423e-06 5.05058e-07 -3.44591e-01 -1.94004e+00 -9.57962e-01
5  1 4.51750e-06 5.36878e-06 6.42818e-06 -1.59640e+00 -3.08782e-01 -1.04923e+00
6  1 6.84964e-06 1.91015e-06 5.62057e-07 8.75330e-01 6.95779e-02 7.24409e-02
7  1 2.41206e-06 9.94897e-06 8.91411e-07 1.84097e-01 1.08836e+00 -9.11701e-01
8  1 2.50613e-06 6.82548e-06 8.52790e-06 -3.36282e-01 1.17468e+00 5.67277e-01
9  1 4.98844e-06 1.77517e-06 3.74735e-06 5.87767e-01 4.63443e-01 -1.08710e+00
10  1 2.91033e-06 4.89311e-06 6.67883e-06 -7.49902e-01 -1.06394e+00 8.50310e-01
11  1 2.26664e-06 5.51446e-06 2.66814e-06 -1.80398e+00 -9.11908e-01 -5.76500e-01
12  1 3.63774e-07 4.33553e-06 2.53381e-06 -1.75658e-01 -1.30929e+00 -4.63164e-01
13  1 6.20624e-06 4.68706e-06 5.93917e-06 -9.04062e-01 8.76187e-01 -9.63892e-01
14  1 7.77811e-06 4.44939e-06 1.27482e-06 -1.34845e+00 9.59688e-02 5.92568e-01
15  1 8.07230e-06 4.73319e-06 2.21697e-06 2.30171e+00 -1.02849e+00 1.36743e-01
16  1 8.53651e-06 2.00520e-07 2.52397e-07 -1.19653e+00 5.93957e-01 -7.44714e-01
17  1 9.75938e-06 9.04564e-06 5.39790e-06 -1.75252e-01 4.02664e-01 1.05694e-01
18  1 4.26246e-06 4.82510e-06 6.44061e-06 1.51619e-01 1.41949e+00 1.17536e-01
19  1 4.39816e-06 2.68259e-06 9.41062e-07 -7.28341e-02 4.67934e-01 4.37937e-01
20  1 9.36534e-06 5.32261e-07 4.32169e-06 2.62273e-01 -5.53507e-01 -2.70781e-01
21  1 6.97784e-06 5.67642e-06 9.69693e-06 -2.06809e-01 -7.44927e-01 -5.36873e-02
22  1 3.62949e-06 1.40142e-06 4.86267e-06 -2.01233e+00 -1.00943e+00 -4.55492e-01
23  1 8.73883e-06 5.69076e-06 8.37269e-06 5.17599e-01 4.40262e-01 4.39325e-01
24  1 1.45352e-06 5.26133e-06 5.30095e-07 3.71326e-02 -2.87783e-01 -3.23657e-01
25  1 2.27295e-06 7.76573e-06 8.08084e-06 -1.66239e-01 5.36811e-01 -2.50324e-01
